"","Rank","Player1","Opponent1","Gender","Category","Matches","Wins","Losses","Points For","Points Against","Difference","Year","Player2","Opponent2"
"609",9,"Praveen JORDAN","Dechapol PUAVARANUKROH","Mixed","Doubles",4,3,1,195,161,34,2019,"Melati Daeva OKTAVIANTI","Sapsiree TAERATTANACHAI"
"610",10,"ZHENG Siwei","Dechapol PUAVARANUKROH","Mixed","Doubles",5,3,2,194,155,39,2019,"HUANG Yaqiong","Sapsiree TAERATTANACHAI"
"611",11,"Yuta WATANABE","SEO Seung Jae","Mixed","Doubles",5,3,2,186,169,17,2019,"Arisa HIGASHINO","CHAE YuJung"
"612",12,"WANG Yilyu","Praveen JORDAN","Mixed","Doubles",4,3,1,184,140,44,2019,"HUANG Dongping","Melati Daeva OKTAVIANTI"
"613",13,"CHAN Peng Soon","Tontowi AHMAD","Mixed","Doubles",3,1,2,173,167,6,2019,"GOH Liu Ying","Winny Oktavina KANDOW"
"614",14,"WANG Yilyu","HE Jiting","Mixed","Doubles",4,3,1,171,144,27,2019,"HUANG Dongping","DU Yue"
"615",15,"ZHENG Siwei","SEO Seung Jae","Mixed","Doubles",4,4,0,170,111,59,2019,"HUANG Yaqiong","CHAE YuJung"
"616",16,"Dechapol PUAVARANUKROH","Mark LAMSFUSS","Mixed","Doubles",3,3,0,165,121,44,2019,"Sapsiree TAERATTANACHAI","Isabel HERTTRICH"
"617",17,"Marcus ELLIS","Mark LAMSFUSS","Mixed","Doubles",4,3,1,163,145,18,2019,"Lauren SMITH","Isabel HERTTRICH"
"618",18,"ZHENG Siwei","Hafiz FAIZAL","Mixed","Doubles",3,2,1,161,140,21,2019,"HUANG Yaqiong","Gloria Emanuelle WIDJAJA"
"619",19,"Rodion ALIMOV","Thom GICQUEL","Mixed","Doubles",3,3,0,160,122,38,2019,"Alina DAVLETOVA","Delphine DELRUE"
"620",20,"Dechapol PUAVARANUKROH","LU Kai","Mixed","Doubles",3,2,1,157,141,16,2019,"Sapsiree TAERATTANACHAI","CHEN Lu"
"621",20,"WANG Yilyu","SEO Seung Jae","Mixed","Doubles",3,3,0,157,131,26,2019,"HUANG Dongping","CHAE YuJung"
"622",22,"Yuta WATANABE","Praveen JORDAN","Mixed","Doubles",3,2,1,153,138,15,2019,"Arisa HIGASHINO","Melati Daeva OKTAVIANTI"
"623",23,"GOH Soon Huat","Marcus ELLIS","Mixed","Doubles",3,3,0,150,134,16,2019,"LAI Shevon Jemie","Lauren SMITH"
"624",24,"Hafiz FAIZAL","Tontowi AHMAD","Mixed","Doubles",3,2,1,149,131,18,2019,"Gloria Emanuelle WIDJAJA","Winny Oktavina KANDOW"
"625",24,"Praveen JORDAN","Yuki KANEKO","Mixed","Doubles",3,1,2,149,143,6,2019,"Melati Daeva OKTAVIANTI","Misaki MATSUTOMO"
"626",1,"CHEN Yufei","Akane YAMAGUCHI","Women","Singles",8,4,4,383,357,26,2018,NA,NA
"627",2,"TAI Tzu Ying","CHEN Yufei","Women","Singles",6,6,0,324,259,65,2018,NA,NA
"628",3,"PUSARLA V. Sindhu","Akane YAMAGUCHI","Women","Singles",6,5,1,289,255,34,2018,NA,NA
"629",4,"TAI Tzu Ying","HE Bingjiao","Women","Singles",6,5,1,282,211,71,2018,NA,NA
"630",5,"CHEN Yufei","Ratchanok INTANON","Women","Singles",5,3,2,275,262,13,2018,NA,NA
"631",6,"TAI Tzu Ying","Saina NEHWAL","Women","Singles",6,6,0,272,200,72,2018,NA,NA
"632",7,"CHEN Yufei","SUNG Ji Hyun","Women","Singles",5,5,0,251,191,60,2018,NA,NA
"633",8,"Nozomi OKUHARA","Saina NEHWAL","Women","Singles",4,2,2,224,219,5,2018,NA,NA
"634",9,"CHEN Yufei","Nitchaon JINDAPOL","Women","Singles",4,4,0,220,180,40,2018,NA,NA
"635",10,"Nozomi OKUHARA","HE Bingjiao","Women","Singles",4,4,0,206,147,59,2018,NA,NA
"636",11,"PUSARLA V. Sindhu","Beiwen ZHANG","Women","Singles",4,2,2,199,161,38,2018,NA,NA
"637",12,"Nozomi OKUHARA","Pornpawee CHOCHUWONG","Women","Singles",4,3,1,191,156,35,2018,NA,NA
"638",13,"CAI Yanyan","GAO Fangjie","Women","Singles",4,2,2,190,182,8,2018,NA,NA
"639",14,"Akane YAMAGUCHI","Nozomi OKUHARA","Women","Singles",4,2,2,186,185,1,2018,NA,NA
"640",14,"TAI Tzu Ying","Soniia CHEAH","Women","Singles",4,4,0,186,135,51,2018,NA,NA
"641",16,"Nozomi OKUHARA","CHEUNG Ngan Yi","Women","Singles",4,4,0,182,133,49,2018,NA,NA
"642",16,"Akane YAMAGUCHI","HE Bingjiao","Women","Singles",4,3,1,182,166,16,2018,NA,NA
"643",18,"Saina NEHWAL","Akane YAMAGUCHI","Women","Singles",4,1,3,180,178,2,2018,NA,NA
"644",19,"Akane YAMAGUCHI","Beiwen ZHANG","Women","Singles",4,2,2,179,148,31,2018,NA,NA
"645",19,"PUSARLA V. Sindhu","Nozomi OKUHARA","Women","Singles",4,3,1,179,172,7,2018,NA,NA
"646",21,"Mia BLICHFELDT","Evgeniya KOSETSKAYA","Women","Singles",3,2,1,171,160,11,2018,NA,NA
"647",21,"KISONA Selvaduray","Ruselli HARTAWAN","Women","Singles",3,2,1,171,163,8,2018,NA,NA
"648",24,"Ratchanok INTANON","Fitriani FITRIANI","Women","Singles",4,4,0,168,98,70,2018,NA,NA
"649",24,"TAI Tzu Ying","Akane YAMAGUCHI","Women","Singles",4,2,2,168,160,8,2018,NA,NA
"650",24,"PUSARLA V. Sindhu","Nitchaon JINDAPOL","Women","Singles",3,3,0,168,151,17,2018,NA,NA
"651",1,"Misaki MATSUTOMO","Greysia POLII","Women","Doubles",7,6,1,307,276,31,2018,"Ayaka TAKAHASHI","Apriyani RAHAYU"
"652",2,"Nami MATSUYAMA","Ayako SAKURAMOTO","Women","Doubles",5,1,4,247,246,1,2018,"Chiharu SHIDA","Yukiko TAKAHATA"
"653",3,"Yuki FUKUSHIMA","Greysia POLII","Women","Doubles",5,5,0,231,161,70,2018,"Sayaka HIROTA","Apriyani RAHAYU"
"654",4,"Misaki MATSUTOMO","Mayu MATSUMOTO","Women","Doubles",5,3,2,213,202,11,2018,"Ayaka TAKAHASHI","Wakana NAGAHARA"
"655",4,"Yuki FUKUSHIMA","Mayu MATSUMOTO","Women","Doubles",4,2,2,213,200,13,2018,"Sayaka HIROTA","Wakana NAGAHARA"
"656",6,"LEE So Hee","Gabriela STOEVA","Women","Doubles",5,3,2,207,191,16,2018,"SHIN Seung Chan","Stefani STOEVA"
"657",7,"Yuki FUKUSHIMA","Della Destiara HARIS","Women","Doubles",4,4,0,195,155,40,2018,"Sayaka HIROTA","Rizki Amelia PRADIPTA"
"658",8,"Misaki MATSUTOMO","Della Destiara HARIS","Women","Doubles",4,4,0,187,114,73,2018,"Ayaka TAKAHASHI","Rizki Amelia PRADIPTA"
"659",9,"CHEN Qingchen","Jongkolphan KITITHARAKUL","Women","Doubles",4,4,0,186,149,37,2018,"JIA Yifan","Rawinda PRAJONGJAI"
"660",10,"Jongkolphan KITITHARAKUL","Maiken FRUERGAARD","Women","Doubles",4,3,1,182,150,32,2018,"Rawinda PRAJONGJAI","Sara THYGESEN"
"661",11,"Misaki MATSUTOMO","DU Yue","Women","Doubles",4,3,1,174,140,34,2018,"Ayaka TAKAHASHI","LI Yinhui"
"662",12,"Yuki FUKUSHIMA","Jongkolphan KITITHARAKUL","Women","Doubles",4,3,1,172,141,31,2018,"Sayaka HIROTA","Rawinda PRAJONGJAI"
"663",14,"Gabriela STOEVA","Emilie LEFEL","Women","Doubles",4,4,0,168,96,72,2018,"Stefani STOEVA","Anne TRAN"
"664",14,"Mayu MATSUMOTO","Gabriela STOEVA","Women","Doubles",4,4,0,168,109,59,2018,"Wakana NAGAHARA","Stefani STOEVA"
"665",14,"CHEN Qingchen","CHANG Ye Na","Women","Doubles",3,3,0,168,167,1,2018,"JIA Yifan","JUNG Kyung Eun"
"666",16,"Yuki FUKUSHIMA","CHEN Qingchen","Women","Doubles",4,2,2,159,155,4,2018,"Sayaka HIROTA","JIA Yifan"
"667",17,"Greysia POLII","LEE So Hee","Women","Doubles",3,2,1,157,143,14,2018,"Apriyani RAHAYU","SHIN Seung Chan"
"668",18,"Misaki MATSUTOMO","Yuki FUKUSHIMA","Women","Doubles",3,1,2,153,147,6,2018,"Ayaka TAKAHASHI","Sayaka HIROTA"
"669",19,"CHEN Qingchen","DU Yue","Women","Doubles",4,2,2,148,143,5,2018,"JIA Yifan","LI Yinhui"
"670",19,"CHANG Ye Na","Yuki FUKUSHIMA","Women","Doubles",3,2,1,148,131,17,2018,"JUNG Kyung Eun","Sayaka HIROTA"
"671",21,"Yuki FUKUSHIMA","Anggia Shitta AWANDA","Women","Doubles",3,3,0,146,128,18,2018,"Sayaka HIROTA","Ni Ketut Mahadewi ISTARANI"
"672",22,"DU Yue","Mayu MATSUMOTO","Women","Doubles",3,2,1,145,131,14,2018,"LI Yinhui","Wakana NAGAHARA"
"673",23,"Misaki MATSUTOMO","Ashwini PONNAPPA","Women","Doubles",3,3,0,144,102,42,2018,"Ayaka TAKAHASHI","REDDY N. Sikki"
"674",24,"LEE So Hee","Mayu MATSUMOTO","Women","Doubles",3,2,1,143,127,16,2018,"SHIN Seung Chan","Wakana NAGAHARA"
"675",24,"Misaki MATSUTOMO","CHEN Qingchen","Women","Doubles",3,2,1,143,122,21,2018,"Ayaka TAKAHASHI","JIA Yifan"
"676",1,"SON Wan Ho","Kenta NISHIMOTO","Men","Singles",7,5,2,335,320,15,2018,NA,NA
"677",2,"Kento MOMOTA","CHOU Tien Chen","Men","Singles",6,5,1,302,259,43,2018,NA,NA
"678",3,"Kento MOMOTA","Anthony Sinisuka GINTING","Men","Singles",6,4,2,291,274,17,2018,NA,NA
"679",4,"CHOU Tien Chen","Anthony Sinisuka GINTING","Men","Singles",5,3,2,263,249,14,2018,NA,NA
"680",5,"Anthony Sinisuka GINTING","CHEN Long","Men","Singles",5,4,1,239,212,27,2018,NA,NA
"681",6,"SHI Yuqi","NG Ka Long Angus","Men","Singles",5,4,1,224,162,62,2018,NA,NA
"682",7,"Kento MOMOTA","KIDAMBI Srikanth","Men","Singles",5,5,0,222,159,63,2018,NA,NA
"683",8,"SHI Yuqi","Anthony Sinisuka GINTING","Men","Singles",4,4,0,218,194,24,2018,NA,NA
"684",9,"CHOU Tien Chen","SHI Yuqi","Men","Singles",5,2,3,206,195,11,2018,NA,NA
"685",10,"Kento MOMOTA","SON Wan Ho","Men","Singles",5,4,1,203,159,44,2018,NA,NA
"686",11,"CHOU Tien Chen","NG Ka Long Angus","Men","Singles",4,3,1,201,186,15,2018,NA,NA
"687",12,"Jonatan CHRISTIE","Kenta NISHIMOTO","Men","Singles",4,3,1,191,178,13,2018,NA,NA
"688",13,"Khosit PHETPRADAB","LEE Dong Keun","Men","Singles",4,2,2,188,164,24,2018,NA,NA
"689",14,"Jan O JORGENSEN","Riichi TAKESHITA","Men","Singles",3,2,1,182,170,12,2018,NA,NA
"690",14,"CHOU Tien Chen","LEE Dong Keun","Men","Singles",3,2,1,182,150,32,2018,NA,NA
"691",16,"KIDAMBI Srikanth","WONG Wing Ki Vincent","Men","Singles",5,4,1,173,133,40,2018,NA,NA
"692",16,"SHI Yuqi","Jonatan CHRISTIE","Men","Singles",3,1,2,173,167,6,2018,NA,NA
"693",18,"Kento MOMOTA","CHEN Long","Men","Singles",4,3,1,171,154,17,2018,NA,NA
"694",19,"CHOU Tien Chen","Rasmus GEMKE","Men","Singles",4,3,1,170,152,18,2018,NA,NA
"695",20,"Kento MOMOTA","SHI Yuqi","Men","Singles",4,3,1,161,141,20,2018,NA,NA
"696",21,"Sameer VERMA","Lucas CORVEE","Men","Singles",3,2,1,159,140,19,2018,NA,NA
"697",21,"Kento MOMOTA","Anders ANTONSEN","Men","Singles",3,3,0,159,121,38,2018,NA,NA
"698",23,"Sitthikom THAMMASIN","Firman Abdul KHOLIK","Men","Singles",3,3,0,156,134,22,2018,NA,NA
"699",23,"LEE Hyun Il","Anders ANTONSEN","Men","Singles",3,2,1,156,144,12,2018,NA,NA
"700",25,"Tommy SUGIARTO","Kantaphon WANGCHAROEN","Men","Singles",3,3,0,155,127,28,2018,NA,NA
"701",1,"LIU Cheng","GOH V Shem","Men","Doubles",5,2,3,289,278,11,2018,"ZHANG Nan","TAN Wee Kiong"
"702",2,"Takeshi KAMURA","Fajar ALFIAN","Men","Doubles",5,2,3,230,230,0,2018,"Keigo SONODA","Muhammad Rian ARDIANTO"
"703",2,"Fajar ALFIAN","Takeshi KAMURA","Men","Doubles",5,3,2,230,230,0,2018,"Muhammad Rian ARDIANTO","Keigo SONODA"
"704",4,"Marcus Fernaldi GIDEON","Mohammad AHSAN","Men","Doubles",4,4,0,207,158,49,2018,"Kevin Sanjaya SUKAMULJO","Hendra SETIAWAN"
"705",5,"LIU Cheng","LEE Jhe-Huei","Men","Doubles",4,3,1,199,178,21,2018,"ZHANG Nan","LEE Yang"
"706",6,"Marcus Fernaldi GIDEON","HE Jiting","Men","Doubles",4,3,1,194,190,4,2018,"Kevin Sanjaya SUKAMULJO","TAN Qiang"
"707",7,"Hiroyuki ENDO","LIAO Min Chun","Men","Doubles",4,1,3,193,183,10,2018,"Yuta WATANABE","SU Ching Heng"
"708",8,"LI Junhui","Kim ASTRUP","Men","Doubles",4,3,1,189,182,7,2018,"LIU Yuchen","Anders Skaarup RASMUSSEN"
"709",9,"Kim ASTRUP","HAN Chengkai","Men","Doubles",4,4,0,185,153,32,2018,"Anders Skaarup RASMUSSEN","ZHOU Haodong"
"710",10,"Marcus Fernaldi GIDEON","LI Junhui","Men","Doubles",4,3,1,177,151,26,2018,"Kevin Sanjaya SUKAMULJO","LIU Yuchen"
"711",11,"Marcus Fernaldi GIDEON","HAN Chengkai","Men","Doubles",4,1,3,176,158,18,2018,"Kevin Sanjaya SUKAMULJO","ZHOU Haodong"
"712",12,"CHEN Hung Ling","HE Jiting","Men","Doubles",4,2,2,171,165,6,2018,"WANG Chi-Lin","TAN Qiang"
"713",14,"Marcus Fernaldi GIDEON","Takeshi KAMURA","Men","Doubles",4,3,1,163,128,35,2018,"Kevin Sanjaya SUKAMULJO","Keigo SONODA"
"714",14,"LI Junhui","CHEN Hung Ling","Men","Doubles",3,3,0,163,120,43,2018,"LIU Yuchen","WANG Chi-Lin"
"715",14,"OU Xuanyi","Min Hyuk KANG","Men","Doubles",3,2,1,163,149,14,2018,"REN Xiangyu","KIM Won Ho"
"716",14,"HE Jiting","Takuro HOKI","Men","Doubles",3,3,0,163,145,18,2018,"TAN Qiang","Yugo KOBAYASHI"
"717",17,"Mohammad AHSAN","LEE Jhe-Huei","Men","Doubles",3,2,1,159,145,14,2018,"Hendra SETIAWAN","LEE Yang"
"718",17,"LI Junhui","LU Ching Yao","Men","Doubles",3,3,0,159,136,23,2018,"LIU Yuchen","YANG Po Han"
"719",19,"LI Junhui","Fajar ALFIAN","Men","Doubles",3,2,1,151,143,8,2018,"LIU Yuchen","Muhammad Rian ARDIANTO"
"720",20,"Marcus Fernaldi GIDEON","Satwiksairaj RANKIREDDY","Men","Doubles",3,3,0,150,117,33,2018,"Kevin Sanjaya SUKAMULJO","Chirag SHETTY"
"721",21,"Marcus Fernaldi GIDEON","Kim ASTRUP","Men","Doubles",3,3,0,147,119,28,2018,"Kevin Sanjaya SUKAMULJO","Anders Skaarup RASMUSSEN"
"722",21,"Mathias BOE","Satwiksairaj RANKIREDDY","Men","Doubles",3,2,1,147,145,2,2018,"Carsten MOGENSEN","Chirag SHETTY"
"723",23,"Marcus Fernaldi GIDEON","CHEN Hung Ling","Men","Doubles",3,3,0,146,106,40,2018,"Kevin Sanjaya SUKAMULJO","WANG Chi-Lin"
"724",24,"Fajar ALFIAN","ONG Yew Sin","Men","Doubles",3,2,1,142,125,17,2018,"Muhammad Rian ARDIANTO","TEO Ee Yi"
"725",24,"Takeshi KAMURA","CHEN Hung Ling","Men","Doubles",3,3,0,142,114,28,2018,"Keigo SONODA","WANG Chi-Lin"
"726",1,"WANG Yilyu","Yuta WATANABE","Mixed","Doubles",8,7,1,376,297,79,2018,"HUANG Dongping","Arisa HIGASHINO"
"727",2,"ZHENG Siwei","WANG Yilyu","Mixed","Doubles",7,6,1,339,294,45,2018,"HUANG Yaqiong","HUANG Dongping"
"728",3,"ZHENG Siwei","Dechapol PUAVARANUKROH","Mixed","Doubles",5,5,0,265,199,66,2018,"HUANG Yaqiong","Sapsiree TAERATTANACHAI"
"729",4,"Dechapol PUAVARANUKROH","GOH Soon Huat","Mixed","Doubles",5,3,2,232,208,24,2018,"Sapsiree TAERATTANACHAI","LAI Shevon Jemie"
"730",5,"ZHENG Siwei","TANG Chun Man","Mixed","Doubles",5,4,1,227,163,64,2018,"HUANG Yaqiong","TSE Ying Suet"
"731",6,"Marcus ELLIS","Marvin SEIDEL","Mixed","Doubles",5,5,0,213,145,68,2018,"Lauren SMITH","Linda EFLER"
"732",7,"Praveen JORDAN","Chris ADCOCK","Mixed","Doubles",4,2,2,199,177,22,2018,"Melati Daeva OKTAVIANTI","Gabrielle ADCOCK"
"733",7,"ZHENG Siwei","Yuta WATANABE","Mixed","Doubles",4,3,1,199,152,47,2018,"HUANG Yaqiong","Arisa HIGASHINO"
"734",9,"Praveen JORDAN","CHAN Peng Soon","Mixed","Doubles",4,3,1,196,182,14,2018,"Melati Daeva OKTAVIANTI","GOH Liu Ying"
"735",10,"WANG Yilyu","Dechapol PUAVARANUKROH","Mixed","Doubles",4,2,2,181,178,3,2018,"HUANG Dongping","Sapsiree TAERATTANACHAI"
"736",11,"Yuta WATANABE","TANG Chun Man","Mixed","Doubles",3,3,0,177,163,14,2018,"Arisa HIGASHINO","TSE Ying Suet"
"737",12,"Dechapol PUAVARANUKROH","Chris ADCOCK","Mixed","Doubles",3,3,0,174,157,17,2018,"Sapsiree TAERATTANACHAI","Gabrielle ADCOCK"
"738",13,"ZHENG Siwei","Tontowi AHMAD","Mixed","Doubles",4,3,1,169,147,22,2018,"HUANG Yaqiong","Liliyana NATSIR"
"739",14,"SEO Seung Jae","CHAN Peng Soon","Mixed","Doubles",3,2,1,164,141,23,2018,"CHAE YuJung","GOH Liu Ying"
"740",14,"ZHENG Siwei","Niclas NOHR","Mixed","Doubles",3,3,0,164,140,24,2018,"HUANG Yaqiong","Sara THYGESEN"
"741",16,"Dechapol PUAVARANUKROH","CHANG Tak Ching","Mixed","Doubles",3,3,0,162,119,43,2018,"Sapsiree TAERATTANACHAI","NG Wing Yung"
"742",17,"WANG Yilyu","Praveen JORDAN","Mixed","Doubles",3,3,0,158,126,32,2018,"HUANG Dongping","Melati Daeva OKTAVIANTI"
"743",17,"Yuta WATANABE","Hafiz FAIZAL","Mixed","Doubles",3,2,1,158,149,9,2018,"Arisa HIGASHINO","Gloria Emanuelle WIDJAJA"
"744",19,"Mark LAMSFUSS","LU Kai","Mixed","Doubles",4,2,2,156,149,7,2018,"Isabel HERTTRICH","CHEN Lu"
"745",20,"SEO Seung Jae","Dechapol PUAVARANUKROH","Mixed","Doubles",3,2,1,153,133,20,2018,"CHAE YuJung","Sapsiree TAERATTANACHAI"
"746",21,"Mark LAMSFUSS","Jacco ARENDS","Mixed","Doubles",4,3,1,145,112,33,2018,"Isabel HERTTRICH","Selena PIEK"
"747",21,"ZHENG Siwei","ZHANG Nan","Mixed","Doubles",3,3,0,145,91,54,2018,"HUANG Yaqiong","LI Yinhui"
"748",23,"ZHENG Siwei","Chris ADCOCK","Mixed","Doubles",3,3,0,143,100,43,2018,"HUANG Yaqiong","Gabrielle ADCOCK"
"749",24,"ZHANG Nan","Yuta WATANABE","Mixed","Doubles",3,2,1,136,122,14,2018,"LI Yinhui","Arisa HIGASHINO"
"750",25,"ZHENG Siwei","CHAN Peng Soon","Mixed","Doubles",3,2,1,135,128,7,2018,"HUANG Yaqiong","GOH Liu Ying"
