Name,Position,Age,"Birthdate
",Height,Weight,Height (ft/in),"Weight
st/lb",Contract,Length,Team 
Garyn PHILLIPS,Prop,24 y/o,14/05/2001,1.83 m,113 kg,6 ft,17 st; 249.12 lb,PRO,,ospreys
Math IORWERTH-SCOTT,Prop,-,-,-,-,-,-,ACADEMY,,ospreys
Rhys HENRY,Prop,26 y/o,08/09/1998,1.73 m,114 kg,5 ft 8 in,17 st 13.33 lb; 251.33 lb,PRO,,ospreys
Steff THOMAS,Prop,28 y/o,22/04/1997,1.83 m,122 kg,6 ft,19 st; 268.96 lb,PRO,,ospreys
Tom BOTHA,Prop,34 y/o,31/08/1990,1.79 m,117 kg,5 ft 10 in,18 st 5.94 lb; 257.94 lb,PRO,,ospreys
Dewi LAKE,Hooker,26 y/o,16/05/1999,1.85 m,114 kg,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,,ospreys
Ethan LEWIS,Hooker,31 y/o,28/03/1994,1.82 m,109 kg,6 ft,17 st; 240.30 lb,PRO,,ospreys
George MCGUIGAN,Hooker,32 y/o,30/03/1993,1.83 m,113 kg,6 ft,17 st; 249.12 lb,PRO,2025,ospreys
Lewis LLOYD,Hooker,21 y/o,20/07/2003,1.80 m,92 kg,5 ft 11 in,14 st 6.83 lb; 202.83 lb,PRO,,ospreys
Sam PARRY,Hooker,33 y/o,17/12/1991,1.86 m,114 kg,6 ft 1 in,17 st 13.33 lb; 251.33 lb,PRO,,ospreys
Adam BEARD,Lock,29 y/o,07/01/1996,2.03 m,121 kg,6 ft 8 in,19 st 0.76 lb; 266.76 lb,PRO,2025,ospreys
Huw SUTTON,Lock,25 y/o,17/11/1999,1.99 m,122 kg,6 ft 6 in,19 st 2.96 lb; 268.96 lb,PRO,,ospreys
James FENDER,Lock,23 y/o,03/08/2001,2.04 m,125 kg,6 ft 8 in,19 st 9.58 lb; 275.58 lb,PRO,,ospreys
James RATTI,Lock,27 y/o,14/10/1997,1.96 m,120 kg,6 ft 5 in,18 st 12.55 lb; 264.55 lb,PRO,,ospreys
Lewis JONES,Lock,22 y/o,19/07/2002,2.00 m,105 kg,6 ft 7 in,16 st 7.49 lb; 231.49 lb,PRO,,ospreys
Rhys DAVIES,Lock,26 y/o,09/11/1998,1.97 m,116 kg,6 ft 6 in,18 st 3.74 lb; 255.74 lb,PRO,,ospreys
Rhys THOMAS,Lock,24 y/o,17/02/2001,1.94 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,,ospreys
Will GREATBANKS,Lock,22 y/o,18/01/2003,1.98 m,109 kg,6 ft 6 in,17 st 2.30 lb; 240.30 lb,PRO,,ospreys
Will GRIFFITHS,Lock,26 y/o,25/12/1998,1.93 m,106 kg,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,,ospreys
Will SPENCER,Lock,33 y/o,30/05/1992,2.01 m,125 kg,6 ft 7 in,19 st 9.58 lb; 275.58 lb,PRO,2025,ospreys
Harri DEAVES-SMALL,Back row,24 y/o,13/06/2001,1.82 m,96 kg,6 ft,15 st; 211.64 lb,PRO,,ospreys
Jac MORGAN,Back row,25 y/o,21/01/2000,1.82 m,104 kg,6 ft,16 st; 229.28 lb,PRO,,ospreys
Justin TIPURIC,Back row,35 y/o,06/08/1989,1.88 m,107 kg,6 ft 2 in,16 st 11.89 lb; 235.89 lb,PRO,2025,ospreys
Morgan MORRIS,Back row,26 y/o,28/08/1998,1.83 m,110 kg,6 ft,17 st; 242.51 lb,PRO,,ospreys
Tristan DAVIES,Back row,23 y/o,30/09/2001,1.93 m,104 kg,6 ft 4 in,16 st 5.28 lb; 229.28 lb,PRO,2025,ospreys
Kieran HARDY,Scrum-half,29 y/o,30/11/1995,1.84 m,90 kg,6 ft,14 st; 198.42 lb,PRO,,ospreys
Luke DAVIES,Scrum-half,23 y/o,26/02/2002,1.75 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,,ospreys
Reuben MORGAN-WILLIAMS,Scrum-half,27 y/o,03/02/1998,1.80 m,85 kg,5 ft 11 in,13 st 5.39 lb; 187.39 lb,PRO,2025,ospreys
Dan EDWARDS,Fly-half,22 y/o,07/05/2003,1.78 m,83 kg,5 ft 10 in,13 st 0.98 lb; 182.98 lb,PRO,,ospreys
Jack WALSH,Fly-half,25 y/o,11/01/2000,1.84 m,88 kg,6 ft,13 st; 194.01 lb,PRO,2026,ospreys
Luke SCULLY,Fly-half,25 y/o,28/02/2000,1.80 m,80 kg,5 ft 11 in,12 st 8.37 lb; 176.37 lb,PRO,,ospreys
Owen WILLIAMS,Fly-half,33 y/o,27/02/1992,1.85 m,98 kg,6 ft 1 in,15 st 6.05 lb; 216.05 lb,PRO,2025,ospreys
Evardi BOSHOFF,Centre,26 y/o,06/10/1998,1.83 m,92 kg,6 ft,14 st; 202.83 lb,PRO,,ospreys
Keiran WILLIAMS,Centre,27 y/o,04/12/1997,1.78 m,90 kg,5 ft 10 in,14 st 2.42 lb; 198.42 lb,PRO,,ospreys
Owen WATKIN,Centre,28 y/o,12/10/1996,1.88 m,112 kg,6 ft 2 in,17 st 8.92 lb; 246.92 lb,PRO,,ospreys
Phil COKANASIGA,Centre,23 y/o,31/07/2001,1.83 m,98 kg,6 ft,15 st; 216.05 lb,PRO,,ospreys
Tom FLORENCE,Centre,22 y/o,19/03/2003,1.88 m,96 kg,6 ft 2 in,15 st 1.64 lb; 211.64 lb,PRO,,ospreys
Harri HOUSTON,Winger,21 y/o,27/11/2003,1.78 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,PRO,,ospreys
Keelan GILES,Winger,27 y/o,29/01/1998,1.73 m,80 kg,5 ft 8 in,12 st 8.37 lb; 176.37 lb,PRO,,ospreys
Luke MORGAN,Winger,33 y/o,16/05/1992,1.75 m,81 kg,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,,ospreys
Ryan CONBEER,Winger,26 y/o,05/02/1999,1.77 m,91 kg,5 ft 10 in,14 st 4.62 lb; 200.62 lb,PRO,,ospreys
Daniel KASENDE,Fullback,30 y/o,09/05/1995,1.87 m,92 kg,6 ft 2 in,14 st 6.83 lb; 202.83 lb,PRO,,ospreys
Iestyn HOPKINS,Fullback,23 y/o,04/04/2002,1.73 m,88 kg,5 ft 8 in,13 st 12.01 lb; 194.01 lb,PRO,,ospreys
Max NAGY,Fullback,26 y/o,13/06/1999,1.93 m,95 kg,6 ft 4 in,14 st 13.44 lb; 209.44 lb,PRO,,ospreys
Conor BARTLEY,Prop,-,-,-,-,-,-,PRO,2025,munster
Dave KILCOYNE,Prop,36 y/o,14/12/1988,1.85 m,112 kg,6 ft 1 in,17 st 8.92 lb; 246.92 lb,PRO,2025,munster
Jeremy LOUGHMAN,Prop,29 y/o,22/07/1995,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,2026,munster
John RYAN,Prop,36 y/o,02/08/1988,1.85 m,121 kg,6 ft 1 in,19 st 0.76 lb; 266.76 lb,PRO,2026,munster
Josh WYCHERLEY,Prop,25 y/o,22/07/1999,1.83 m,108 kg,6 ft,17 st; 238.10 lb,PRO,2027,munster
Mark DONNELLY,Prop,24 y/o,14/03/2001,1.80 m,110 kg,5 ft 11 in,17 st 4.51 lb; 242.51 lb,PRO,2026,munster
Michael MILNE,Prop,25 y/o,05/02/2000,1.83 m,115 kg,6 ft,18 st; 253.53 lb,PRO,2027,munster
Oli JAGER,Prop,29 y/o,05/07/1995,1.92 m,127 kg,6 ft 4 in,19 st 13.99 lb; 279.99 lb,PRO,2027,munster
Roman SALANOA,Prop,27 y/o,28/10/1997,1.83 m,123 kg,6 ft,19 st; 271.17 lb,PRO,2025,munster
Stephen ARCHER,Prop,37 y/o,29/01/1988,1.88 m,121 kg,6 ft 2 in,19 st 0.76 lb; 266.76 lb,PRO,2025,munster
Diarmuid BARRON,Hooker,26 y/o,06/08/1998,1.84 m,100 kg,6 ft,15 st; 220.46 lb,PRO,2026,munster
Lee BARRON,Hooker,24 y/o,15/02/2001,1.91 m,109 kg,6 ft 3 in,17 st 2.30 lb; 240.30 lb,PRO,2027,munster
Niall SCANNELL,Hooker,33 y/o,08/04/1992,1.85 m,111 kg,6 ft 1 in,17 st 6.71 lb; 244.71 lb,PRO,2026,munster
Edwin EDOGBO,Lock,22 y/o,21/12/2002,1.96 m,122 kg,6 ft 5 in,19 st 2.96 lb; 268.96 lb,PRO,2026,munster
Fineen WYCHERLEY,Lock,27 y/o,11/12/1997,1.96 m,112 kg,6 ft 5 in,17 st 8.92 lb; 246.92 lb,PRO,2027,munster
Jean KLEYN,Lock,31 y/o,26/08/1993,2.03 m,123 kg,6 ft 8 in,19 st 5.17 lb; 271.17 lb,PRO,2026,munster
Tadhg BEIRNE,Lock,33 y/o,08/01/1992,1.98 m,114 kg,6 ft 6 in,17 st 13.33 lb; 251.33 lb,PRO,2027,munster
Tom AHERN,Lock,25 y/o,22/02/2000,2.06 m,117 kg,6 ft 9 in,18 st 5.94 lb; 257.94 lb,PRO,2027,munster
Alex KENDELLEN,Back row,24 y/o,03/03/2001,1.88 m,105 kg,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,2027,munster
Brian GLEESON,Back row,21 y/o,05/02/2004,1.93 m,116 kg,6 ft 4 in,18 st 3.74 lb; 255.74 lb,PRO,2026,munster
Cian HURLEY,Back row,25 y/o,25/04/2000,1.96 m,106 kg,6 ft 5 in,16 st 9.69 lb; 233.69 lb,PRO,2025,munster
Gavin COOMBES,Back row,27 y/o,11/12/1997,1.98 m,110 kg,6 ft 6 in,17 st 4.51 lb; 242.51 lb,PRO,2027,munster
Jack DALY,Back row,26 y/o,12/08/1998,1.83 m,107 kg,6 ft,16 st; 235.89 lb,PRO,2025,munster
Jack O'DONOGHUE,Back row,31 y/o,08/02/1994,1.91 m,110 kg,6 ft 3 in,17 st 4.51 lb; 242.51 lb,PRO,2026,munster
John HODNETT,Back row,26 y/o,10/01/1999,1.85 m,105 kg,6 ft 1 in,16 st 7.49 lb; 231.49 lb,PRO,2026,munster
Peter O'MAHONY,Back row,35 y/o,17/09/1989,1.91 m,108 kg,6 ft 3 in,17 st 0.10 lb; 238.10 lb,PRO,2025,munster
Conor MURRAY,Scrum-half,36 y/o,20/04/1989,1.88 m,94 kg,6 ft 2 in,14 st 11.23 lb; 207.23 lb,PRO,2025,munster
Craig CASEY,Scrum-half,26 y/o,19/04/1999,1.65 m,76 kg,5 ft 5 in,11 st 13.55 lb; 167.55 lb,PRO,2026,munster
Ethan COUGHLAN,Scrum-half,23 y/o,13/04/2002,1.75 m,81 kg,5 ft 9 in,12 st 10.57 lb; 178.57 lb,PRO,2026,munster
Paddy PATTERSON,Scrum-half,26 y/o,30/11/1998,1.75 m,75 kg,5 ft 9 in,11 st 11.35 lb; 165.35 lb,PRO,2026,munster
Billy BURNS,Fly-half,31 y/o,13/06/1994,1.83 m,87 kg,6 ft,13 st; 191.80 lb,PRO,2025,munster
Jack CROWLEY,Fly-half,25 y/o,13/01/2000,1.85 m,90 kg,6 ft 1 in,14 st 2.42 lb; 198.42 lb,PRO,2027,munster
Tony BUTLER,Fly-half,23 y/o,23/04/2002,1.78 m,85 kg,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,2026,munster
Alex NANKIVELL,Centre,28 y/o,25/10/1996,1.88 m,98 kg,6 ft 2 in,15 st 6.05 lb; 216.05 lb,PRO,2027,munster
Rory SCANNELL,Centre,31 y/o,22/12/1993,1.79 m,96 kg,5 ft 10 in,15 st 1.64 lb; 211.64 lb,PRO,2025,munster
Seán O'BRIEN,Centre,27 y/o,12/05/1998,1.87 m,101 kg,6 ft 2 in,15 st 12.67 lb; 222.67 lb,PRO,2027,munster
Shane DALY,Centre,28 y/o,19/12/1996,1.91 m,92 kg,6 ft 3 in,14 st 6.83 lb; 202.83 lb,PRO,2027,munster
Tom FARRELL,Centre,31 y/o,01/10/1993,1.90 m,107 kg,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,2026,munster
Andrew SMITH,Winger,24 y/o,21/07/2000,1.83 m,90 kg,6 ft,14 st; 198.42 lb,PRO,2026,munster
Calvin NASH,Winger,27 y/o,08/08/1997,1.80 m,90 kg,5 ft 11 in,14 st 2.42 lb; 198.42 lb,PRO,2026,munster
Diarmuid KILGALLEN,Winger,25 y/o,08/03/2000,1.93 m,96 kg,6 ft 4 in,15 st 1.64 lb; 211.64 lb,PRO,2026,munster
Liam COOMBES,Winger,28 y/o,01/05/1997,1.91 m,90 kg,6 ft 3 in,14 st 2.42 lb; 198.42 lb,PRO,2025,munster
Mike HALEY,Fullback,31 y/o,28/06/1994,1.91 m,94 kg,6 ft 3 in,14 st 11.23 lb; 207.23 lb,PRO,2027,munster
Patrick CAMPBELL,Fullback,22 y/o,22/07/2002,1.78 m,88 kg,5 ft 10 in,13 st 12.01 lb; 194.01 lb,PRO,2025,munster
Thaakir ABRAHAMS,Fullback,26 y/o,10/01/1999,1.75 m,77 kg,5 ft 9 in,12 st 1.76 lb; 169.76 lb,PRO,2026,munster
Andy WARWICK,Prop,34 y/o,12/03/1991,1.78 m,116 kg,5 ft 10 in,18 st 3.74 lb; 255.74 lb,PRO,2025,ulster
Bryan O'CONNOR,Prop,26 y/o,23/10/1998,1.91 m,107 kg,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,,ulster
Callum REID,Prop,26 y/o,16/01/1999,1.83 m,120 kg,6 ft,18 st; 264.55 lb,PRO,2027,ulster
Corrie BARRETT,Prop,27 y/o,13/06/1998,1.76 m,112 kg,5 ft 9 in,17 st 8.92 lb; 246.92 lb,PRO,2025,ulster
Eric O'SULLIVAN,Prop,29 y/o,30/11/1995,1.86 m,118 kg,6 ft 1 in,18 st 8.15 lb; 260.15 lb,PRO,2027,ulster
Tom O'TOOLE,Prop,26 y/o,23/09/1998,1.85 m,123 kg,6 ft 1 in,19 st 5.17 lb; 271.17 lb,PRO,2027,ulster
John ANDREW,Hooker,32 y/o,26/05/1993,1.80 m,103 kg,5 ft 11 in,16 st 3.08 lb; 227.08 lb,PRO,2026,ulster
Rob HERRING,Hooker,35 y/o,27/04/1990,1.85 m,106 kg,6 ft 1 in,16 st 9.69 lb; 233.69 lb,PRO,2026,ulster
Tom STEWART,Hooker,24 y/o,11/01/2001,1.83 m,103 kg,6 ft,16 st; 227.08 lb,PRO,2026,ulster
Alan O'CONNOR,Lock,32 y/o,10/09/1992,1.97 m,113 kg,6 ft 6 in,17 st 11.12 lb; 249.12 lb,PRO,2025,ulster
Cormac IZUCHUKWU,Lock,25 y/o,28/01/2000,2.01 m,117 kg,6 ft 7 in,18 st 5.94 lb; 257.94 lb,PRO,2026,ulster
Harry SHERIDAN,Lock,23 y/o,21/09/2001,1.96 m,121 kg,6 ft 5 in,19 st 0.76 lb; 266.76 lb,PRO,2027,ulster
Iain HENDERSON,Lock,33 y/o,21/02/1992,1.98 m,116 kg,6 ft 6 in,18 st 3.74 lb; 255.74 lb,PRO,2027,ulster
Kieran TREADWELL,Lock,29 y/o,06/11/1995,1.99 m,117 kg,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2025,ulster
Matthew DALTON,Lock,26 y/o,16/11/1998,1.98 m,117 kg,6 ft 6 in,18 st 5.94 lb; 257.94 lb,PRO,2026,ulster
Dave MCCANN,Back row,25 y/o,13/06/2000,1.93 m,110 kg,6 ft 4 in,17 st 4.51 lb; 242.51 lb,PRO,2026,ulster
Marcus REA,Back row,27 y/o,08/09/1997,1.89 m,109 kg,6 ft 2 in,17 st 2.30 lb; 240.30 lb,PRO,,ulster
Matty REA,Back row,31 y/o,21/09/1993,1.93 m,113 kg,6 ft 4 in,17 st 11.12 lb; 249.12 lb,PRO,2025,ulster
Nick TIMONEY,Back row,29 y/o,01/08/1995,1.88 m,114 kg,6 ft 2 in,17 st 13.33 lb; 251.33 lb,PRO,2027,ulster
Reuben CROTHERS,Back row,23 y/o,28/01/2002,1.88 m,99 kg,6 ft 2 in,15 st 8.26 lb; 218.26 lb,PRO,2025,ulster
Sean REFFELL,Back row,27 y/o,11/04/1998,1.80 m,100 kg,5 ft 11 in,15 st 10.46 lb; 220.46 lb,PRO,2026,ulster
Conor MCKEE,Scrum-half,24 y/o,20/03/2001,1.83 m,87 kg,6 ft,13 st; 191.80 lb,PRO,2026,ulster
Dave SHANAHAN,Scrum-half,32 y/o,20/06/1993,1.76 m,80 kg,5 ft 9 in,12 st 8.37 lb; 176.37 lb,PRO,2026,ulster
John COONEY,Scrum-half,35 y/o,01/05/1990,1.78 m,87 kg,5 ft 10 in,13 st 9.80 lb; 191.80 lb,PRO,2025,ulster
Michael MCDONALD,Scrum-half,26 y/o,24/06/1999,1.78 m,85 kg,5 ft 10 in,13 st 5.39 lb; 187.39 lb,PRO,2025,ulster
Nathan DOAK,Scrum-half,23 y/o,17/12/2001,1.85 m,87 kg,6 ft 1 in,13 st 9.80 lb; 191.80 lb,PRO,2026,ulster
Aidan MORGAN,Fly-half,24 y/o,07/06/2001,1.72 m,82 kg,5 ft 8 in,12 st 12.78 lb; 180.78 lb,PRO,2025,ulster
Jake FLANNERY,Fly-half,26 y/o,07/06/1999,1.83 m,91 kg,6 ft,14 st; 200.62 lb,PRO,2026,ulster
Ben CARSON,Centre,23 y/o,24/02/2002,1.83 m,101 kg,6 ft,15 st; 222.67 lb,PRO,2028,ulster
James HUME,Centre,26 y/o,07/09/1998,1.88 m,98 kg,6 ft 2 in,15 st 6.05 lb; 216.05 lb,PRO,2027,ulster
Jude POSTLETHWAITE,Centre,23 y/o,03/04/2002,1.93 m,106 kg,6 ft 4 in,16 st 9.69 lb; 233.69 lb,PRO,2026,ulster
Stewart MOORE,Centre,25 y/o,08/08/1999,1.84 m,92 kg,6 ft,14 st; 202.83 lb,PRO,2027,ulster
Stuart MCCLOSKEY,Centre,32 y/o,06/08/1992,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2027,ulster
Ben MOXHAM,Winger,24 y/o,09/06/2001,1.91 m,102 kg,6 ft 3 in,16 st 0.87 lb; 224.87 lb,PRO,,ulster
Jacob STOCKDALE,Winger,29 y/o,03/04/1996,1.91 m,103 kg,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,2027,ulster
Robert BALOUCOUNE,Winger,27 y/o,19/08/1997,1.94 m,99 kg,6 ft 4 in,15 st 8.26 lb; 218.26 lb,PRO,,ulster
Werner KOK,Winger,32 y/o,17/01/1993,1.80 m,96 kg,5 ft 11 in,15 st 1.64 lb; 211.64 lb,PRO,2026,ulster
Zac WARD,Winger,26 y/o,11/12/1998,1.91 m,101 kg,6 ft 3 in,15 st 12.67 lb; 222.67 lb,PRO,2028,ulster
Ethan MCILROY,Fullback,24 y/o,10/08/2000,1.88 m,90 kg,6 ft 2 in,14 st 2.42 lb; 198.42 lb,PRO,,ulster
Mike LOWRY,Fullback,26 y/o,20/08/1998,1.71 m,80 kg,5 ft 7 in,12 st 8.37 lb; 176.37 lb,PRO,2028,ulster
Danilo FISCHETTI,Prop,27 y/o,26/01/1998,1.81 m,112 kg,5 ft 11 in,17 st 8.92 lb; 246.92 lb,PRO,2025,zebre
Ion NECULAI,Prop,24 y/o,25/01/2001,1.89 m,135 kg,6 ft 2 in,21 st 3.62 lb; 297.62 lb,PRO,2026,zebre
Juan PITINARI,Prop,30 y/o,18/01/1995,1.87 m,118 kg,6 ft 2 in,18 st 8.15 lb; 260.15 lb,PRO,2026,zebre
Luca FRANCESCHETTO,Prop,26 y/o,07/06/1999,1.93 m,127 kg,6 ft 4 in,19 st 13.99 lb; 279.99 lb,PRO,2027,zebre
Luca RIZZOLI,Prop,23 y/o,03/05/2002,1.78 m,109 kg,5 ft 10 in,17 st 2.30 lb; 240.30 lb,PRO,2026,zebre
Matteo NOCERA,Prop,26 y/o,16/01/1999,1.94 m,130 kg,6 ft 4 in,20 st 6.60 lb; 286.60 lb,PRO,2027,zebre
Muhamed HASA,Prop,23 y/o,10/09/2001,1.83 m,125 kg,6 ft,19 st; 275.58 lb,PRO,2027,zebre
Paolo BUONFIGLIO,Prop,30 y/o,28/01/1995,1.83 m,114 kg,6 ft,17 st; 251.33 lb,PRO,2026,zebre
Giampietro RIBALDI,Hooker,28 y/o,12/03/1997,1.86 m,110 kg,6 ft 1 in,17 st 4.51 lb; 242.51 lb,PRO,2026,zebre
Giovanni QUATTRINI,Hooker,21 y/o,29/09/2003,1.79 m,111 kg,5 ft 10 in,17 st 6.71 lb; 244.71 lb,PRO,2026,zebre
Luca BIGI,Hooker,34 y/o,19/04/1991,1.82 m,108 kg,6 ft,17 st; 238.10 lb,PRO,2025,zebre
Tommaso DI BARTOLOMEO,Hooker,24 y/o,04/01/2001,1.80 m,107 kg,5 ft 11 in,16 st 11.89 lb; 235.89 lb,PRO,2028,zebre
Andrea ZAMBONIN,Lock,24 y/o,03/09/2000,2.02 m,112 kg,6 ft 8 in,17 st 8.92 lb; 246.92 lb,PRO,2025,zebre
Francesco RUFFOLO,Lock,22 y/o,31/10/2002,1.98 m,118 kg,6 ft 6 in,18 st 8.15 lb; 260.15 lb,PRO,,zebre
Leonard KRUMOV,Lock,29 y/o,01/05/1996,1.98 m,120 kg,6 ft 6 in,18 st 12.55 lb; 264.55 lb,PRO,2026,zebre
Matteo CANALI,Lock,26 y/o,11/09/1998,1.98 m,123 kg,6 ft 6 in,19 st 5.17 lb; 271.17 lb,PRO,2028,zebre
Bautista STAVILE,Back row,28 y/o,22/02/1997,1.83 m,100 kg,6 ft,15 st; 220.46 lb,PRO,,zebre
Davide RUGGERI,Back row,26 y/o,07/05/1999,1.89 m,109 kg,6 ft 2 in,17 st 2.30 lb; 240.30 lb,PRO,2027,zebre
Giacomo FERRARI,Back row,23 y/o,22/01/2002,1.90 m,107 kg,6 ft 3 in,16 st 11.89 lb; 235.89 lb,PRO,2028,zebre
Giovanni LICATA,Back row,28 y/o,18/02/1997,1.93 m,111 kg,6 ft 4 in,17 st 6.71 lb; 244.71 lb,PRO,2026,zebre
Guido VOLPI,Back row,29 y/o,22/08/1995,1.93 m,112 kg,6 ft 4 in,17 st 8.92 lb; 246.92 lb,PRO,2026,zebre
Iacopo BIANCHI,Back row,27 y/o,05/05/1998,1.88 m,108 kg,6 ft 2 in,17 st 0.10 lb; 238.10 lb,PRO,2026,zebre
Luca ANDREANI,Back row,24 y/o,19/04/2001,1.90 m,103 kg,6 ft 3 in,16 st 3.08 lb; 227.08 lb,PRO,2025,zebre
Rusiate NASOVE,Back row,29 y/o,27/10/1995,1.95 m,102 kg,6 ft 5 in,16 st 0.87 lb; 224.87 lb,PRO,2025,zebre
Samuele LOCATELLI,Back row,23 y/o,30/07/2001,1.87 m,105 kg,6 ft 2 in,16 st 7.49 lb; 231.49 lb,PRO,,zebre
Alessandro FUSCO,Scrum-half,25 y/o,28/10/1999,1.85 m,91 kg,6 ft 1 in,14 st 4.62 lb; 200.62 lb,PRO,,zebre
Gonzalo GARCIA,Scrum-half,26 y/o,05/03/1999,1.73 m,78 kg,5 ft 8 in,12 st 3.96 lb; 171.96 lb,PRO,2026,zebre
Patricio BARONIO,Scrum-half,29 y/o,06/05/1996,1.78 m,82 kg,5 ft 10 in,12 st 12.78 lb; 180.78 lb,,,zebre
Thomas DOMINGUEZ,Scrum-half,25 y/o,18/12/1999,1.75 m,79 kg,5 ft 9 in,12 st 6.17 lb; 174.16 lb,PRO,2026,zebre
Geronimo PRISCIANTELLI,Fly-half,25 y/o,23/08/1999,1.83 m,87 kg,6 ft,13 st; 191.80 lb,PRO,2026,zebre
Giacomo DA RE,Fly-half,26 y/o,29/03/1999,1.80 m,84 kg,5 ft 11 in,13 st 3.19 lb; 185.19 lb,PRO,2026,zebre
Giovanni MONTEMAURI,Fly-half,24 y/o,24/10/2000,1.89 m,92 kg,6 ft 2 in,14 st 6.83 lb; 202.83 lb,PRO,,zebre
Damiano MAZZA,Centre,26 y/o,16/02/1999,1.83 m,99 kg,6 ft,15 st; 218.26 lb,PRO,2026,zebre
Enrico LUCCHIN,Centre,30 y/o,04/04/1995,1.88 m,103 kg,6 ft 2 in,16 st 3.08 lb; 227.08 lb,PRO,2026,zebre
Fetuli PAEA,Centre,30 y/o,16/08/1994,1.90 m,102 kg,6 ft 3 in,16 st 0.87 lb; 224.87 lb,PRO,2025,zebre
Filippo DRAGO,Centre,23 y/o,24/12/2001,1.86 m,96 kg,6 ft 1 in,15 st 1.64 lb; 211.64 lb,PRO,2025,zebre
Luca MORISI,Centre,34 y/o,22/02/1991,1.83 m,102 kg,6 ft,16 st; 224.87 lb,PRO,2026,zebre
Scott GREGORY,Centre,26 y/o,07/01/1999,1.85 m,101 kg,6 ft 1 in,15 st 12.67 lb; 222.67 lb,PRO,2025,zebre
Simone GESI,Winger,24 y/o,23/05/2001,1.83 m,80 kg,6 ft,12 st; 176.37 lb,PRO,2026,zebre
Jacopo TRULLA,Fullback,24 y/o,05/07/2000,1.83 m,88 kg,6 ft,13 st; 194.01 lb,PRO,2026,zebre
Lorenzo PANI,Fullback,22 y/o,04/07/2002,1.93 m,96 kg,6 ft 4 in,15 st 1.64 lb; 211.64 lb,PRO,2027,zebre
